date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
2026-02-25,,0.5412,amc,4,,365449198.0,FSK,2025
2026-02-25,,0.0051,amc,4,,342065364.0,SDRL,2025
2026-02-25,,0.1887,amc,4,,142188000.0,ADMA,2025
2026-02-25,,,,4,,,TTSH,2025
2026-02-25,,-0.0505,bmo,4,,40383840.0,LAW,2025
2026-02-25,,-0.0765,amc,4,,113401648.0,ZIP,2025
2026-02-25,,0.3659,amc,4,,309798184.0,TASK,2025
2026-02-25,,0.0583,amc,4,,76834947.0,STAA,2025
2026-02-25,,0.0592,bmo,4,,816065871.0,ACHC,2025
2026-02-25,,1.3308,amc,4,,1090247400.0,CHRD,2025
2026-02-25,,0.393,amc,4,,53195719.0,LB,2025
2026-02-25,,-0.0102,amc,4,,84890071.0,IBTA,2025
2026-02-25,,0.2929,bmo,4,,238075856.0,YOU,2025
2026-02-25,,0.7013,amc,4,,262412003.0,NGVT,2025
2026-02-25,,-0.3098,amc,4,,6589200.0,CCCC,2025
2026-02-25,,0.4284,bmo,4,,498933000.0,STWD,2025
2026-02-25,,0.197,amc,4,,148828550.0,LXU,2025
2026-02-25,,-0.582,bmo,4,,53663000.0,BATRA,2025
2026-02-25,,1.7462,amc,4,,259405890.0,MGRC,2025
2026-02-25,,0.4545,amc,4,,48800927.0,EFC,2025
2026-02-25,,-0.8262,amc,4,,2040000.0,WATT,2025
2026-02-25,,-0.9898,bmo,1,,632594310.0,HOV,2026
2026-02-25,,0.1224,bmo,4,,124494315.0,HIPO,2025
2026-02-25,,0.4266,amc,4,,623832000.0,WTRG,2025
2026-02-25,,0.3608,amc,4,,198032724.0,MGNI,2025
2026-02-25,,2.1395,amc,4,,430633800.0,ECPG,2025
2026-02-25,,0.4153,amc,4,,386437026.0,AROC,2025
2026-02-25,,0.0429,amc,4,,69384980.0,UMH,2025
2026-02-25,,-0.1524,amc,4,,239685720.0,RDFN,2025
2026-02-25,,1.0959,amc,4,,703625070.0,FIHL,2025
2026-02-25,,-0.0606,amc,4,,175875744.0,INN,2025
2026-02-25,,-0.5365,amc,4,,0.0,ETNB,2025
2026-02-25,,0.6069,amc,4,,81916200.0,AMSF,2025
2026-02-25,,,,4,,,MCI,2025
2026-02-25,,0.68,amc,4,,204433061.0,USPH,2025
2026-02-25,,1.0302,bmo,4,,521056980.0,AVA,2025
2026-02-25,,0.2224,amc,4,,116688000.0,ZIMV,2025
2026-02-25,,-0.4444,amc,4,,398259160.0,SVC,2025
2026-02-25,,0.2463,amc,4,,168402000.0,VECO,2025
2026-02-25,,0.4449,amc,4,,40877183.0,CCAP,2025
2026-02-25,,3.3281,amc,4,,2043189468.0,ICLR,2025
2026-02-25,,0.6319,amc,4,,260620531.0,ORA,2025
2026-02-25,,0.1071,amc,4,,2448000.0,CHMI,2025
2026-02-25,,0.9888,bmo,4,,44908000.0,CRAWA,2025
2026-02-25,,-0.3274,amc,4,,567120.0,TNGX,2025
2026-02-25,,-0.2415,amc,4,,146637413.0,METC,2025
2026-02-25,,0.2193,amc,4,,136293930.0,VCYT,2025
2026-02-25,,-0.1967,amc,4,,17301576.0,JOBY,2025
2026-02-25,,0.6554,amc,4,,329898345.0,BBSI,2025
2026-02-25,,0.3101,bmo,4,,264503415.0,BKV,2025
2026-02-25,,-1.6123,amc,4,,4220250.0,RVMD,2025
2026-02-25,,0.6528,,4,,,MGEE,2025
2026-02-25,,-0.2489,bmo,4,,45138233.0,ASPN,2025
2026-02-25,,1.3526,bmo,4,,866739832.0,SWX,2025
2026-02-25,,0.3486,amc,4,,904751872.0,CRGY,2025
2026-02-25,,0.1607,amc,1,,8460135.0,CCIF,2026
2026-02-25,,1.5513,amc,4,,66997920159.0,NVDA,2026
2026-02-25,,0.0748,amc,4,,109068600.0,MDXG,2025
2026-02-25,,0.1988,amc,4,,3875811926.0,NU,2025
2026-02-25,,-1.2243,amc,4,,8302636.0,MRUS,2025
2026-02-25,,-0.0323,bmo,4,,51428910.0,GERN,2025
2026-02-25,,0.1836,amc,4,,35292000.0,SPOK,2025
2026-02-25,,-1.1975,amc,4,,0.0,IMNN,2025
2026-02-25,,1.2852,amc,4,,171108060.0,CLMB,2025
2026-02-25,,1.6626,,4,,,IBOC,2025
2026-02-25,,0.4678,amc,4,,123147741.0,IMAX,2025
2026-02-25,,-0.009,amc,4,,215956062.0,ARRY,2025
2026-02-25,,0.1292,bmo,4,,2365611203.0,DOLE,2025
2026-02-25,,0.4804,bmo,4,,768451108.0,SHOO,2025
2026-02-25,,-1.4696,amc,4,,37460900.0,DNA,2025
2026-02-25,,,amc,4,,,LTBR,2025
2026-02-25,,0.1511,amc,4,,71211882.0,STSFF,2025
2026-02-25,,0.4563,bmo,4,,127513943.0,XPEL,2025
2026-02-25,,0.1192,amc,4,,41882882.0,WSR,2025
2026-02-25,,-1.3399,amc,4,,399762837.0,SRPT,2025
2026-02-25,,0.8976,amc,4,,407490000.0,VTOL,2025
2026-02-25,,0.282,bmo,4,,484780775.0,DRVN,2025
